iter	Passed	Remaining
0	187	186972
1	205	102774
2	226	75397
3	241	60144
4	252	50282
5	263	43680
6	278	39568
7	292	36320
8	306	33724
9	317	31479
10	328	29520
11	339	27988
12	355	27020
13	370	26122
14	384	25280
15	405	24961
16	421	24394
17	437	23872
18	453	23408
19	471	23090
20	487	22707
21	501	22310
22	515	21886
23	527	21445
24	538	20988
25	552	20684
26	564	20338
27	577	20036
28	588	19710
29	601	19461
30	614	19222
31	631	19116
32	645	18922
33	658	18713
34	668	18418
35	680	18225
36	693	18053
37	705	17862
38	716	17647
39	729	17509
40	744	17421
41	759	17334
42	772	17201
43	782	17002
44	794	16855
45	807	16742
46	819	16618
47	841	16699
48	854	16575
49	864	16422
50	875	16289
51	888	16203
52	899	16068
53	909	15929
54	922	15850
55	932	15720
56	942	15585
57	955	15511
58	964	15385
59	975	15281
60	990	15249
61	1007	15236
62	1020	15181
63	1032	15101
64	1044	15022
65	1059	14990
66	1070	14909
67	1081	14819
68	1091	14725
69	1103	14666
70	1132	14822
71	1143	14738
72	1155	14667
73	1167	14615
74	1180	14555
75	1192	14499
76	1202	14416
77	1216	14379
78	1228	14320
79	1236	14219
80	1248	14164
81	1257	14082
82	1268	14013
83	1281	13979
84	1294	13930
85	1305	13872
86	1317	13826
87	1330	13785
88	1343	13747
89	1351	13667
90	1363	13615
91	1374	13561
92	1384	13498
93	1397	13470
94	1410	13440
95	1419	13369
96	1430	13317
97	1443	13284
98	1454	13240
99	1465	13191
100	1479	13167
101	1494	13154
102	1506	13121
103	1517	13070
104	1531	13054
105	1545	13032
106	1554	12974
107	1564	12922
108	1576	12887
109	1588	12856
110	1598	12801
111	1610	12771
112	1620	12719
113	1628	12659
114	1640	12623
115	1648	12561
116	1658	12519
117	1670	12487
118	1679	12432
119	1689	12389
120	1697	12330
121	1709	12301
122	1720	12268
123	1729	12215
124	1740	12186
125	1751	12149
126	1760	12099
127	1771	12070
128	1785	12054
129	1794	12011
130	1807	11989
131	1818	11961
132	1829	11924
133	1841	11902
134	1854	11882
135	1866	11857
136	1876	11818
137	1887	11791
138	1900	11772
139	1910	11735
140	1923	11719
141	1938	11712
142	1950	11687
143	1959	11649
144	1971	11622
145	1983	11603
146	1992	11564
147	2005	11543
148	2017	11522
149	2026	11480
150	2036	11450
151	2049	11431
152	2058	11396
153	2069	11368
154	2078	11332
155	2089	11303
156	2101	11281
157	2115	11273
158	2124	11237
159	2136	11216
160	2148	11198
161	2160	11176
162	2172	11154
163	2184	11134
164	2198	11128
165	2212	11117
166	2225	11099
167	2237	11078
168	2250	11065
169	2263	11049
170	2276	11038
171	2287	11014
172	2303	11012
173	2317	11002
174	2331	10993
175	2344	10975
176	2356	10958
177	2368	10937
178	2382	10926
179	2397	10919
180	2410	10907
181	2420	10877
182	2430	10850
183	2443	10837
184	2454	10813
185	2465	10791
186	2477	10771
187	2488	10746
188	2497	10715
189	2508	10695
190	2517	10661
191	2527	10635
192	2538	10614
193	2547	10582
194	2559	10565
195	2567	10530
196	2579	10513
197	2592	10498
198	2600	10466
199	2611	10444
200	2622	10425
201	2631	10396
202	2660	10445
203	2670	10421
204	2679	10390
205	2691	10372
206	2699	10341
207	2708	10314
208	2717	10285
209	2726	10256
210	2737	10235
211	2745	10205
212	2757	10188
213	2768	10167
214	2776	10136
215	2786	10112
216	2794	10082
217	2805	10065
218	2814	10037
219	2825	10017
220	2836	9999
221	2845	9970
222	2854	9947
223	2865	9927
224	2874	9900
225	2886	9885
226	2894	9855
227	2904	9835
228	2915	9814
229	2924	9789
230	2935	9773
231	2944	9746
232	2953	9723
233	2964	9704
234	2972	9675
235	2983	9659
236	2992	9633
237	3003	9614
238	3012	9593
239	3021	9569
240	3032	9548
241	3042	9528
242	3051	9506
243	3061	9486
244	3072	9467
245	3084	9453
246	3093	9430
247	3102	9408
248	3113	9391
249	3122	9367
250	3132	9348
251	3140	9322
252	3151	9305
253	3163	9290
254	3171	9265
255	3182	9249
256	3191	9226
257	3201	9206
258	3212	9191
259	3221	9169
260	3231	9150
261	3238	9121
262	3247	9099
263	3255	9076
264	3265	9056
265	3276	9039
266	3284	9017
267	3295	9001
268	3303	8977
269	3313	8957
270	3321	8933
271	3330	8914
272	3340	8895
273	3348	8873
274	3360	8860
275	3368	8836
276	3380	8822
277	3391	8807
278	3399	8784
279	3411	8771
280	3419	8748
281	3429	8730
282	3438	8712
283	3447	8691
284	3459	8679
285	3467	8657
286	3478	8640
287	3487	8622
288	3495	8599
289	3506	8584
290	3515	8564
291	3525	8549
292	3536	8534
293	3547	8517
294	3558	8503
295	3566	8481
296	3576	8466
297	3588	8452
298	3596	8432
299	3607	8418
300	3615	8396
301	3625	8380
302	3634	8361
303	3643	8341
304	3655	8330
305	3663	8309
306	3673	8293
307	3682	8272
308	3691	8254
309	3702	8241
310	3711	8222
311	3721	8207
312	3730	8187
313	3740	8172
314	3756	8168
315	3770	8160
316	3780	8146
317	3793	8136
318	3806	8126
319	3819	8115
320	3834	8110
321	3849	8104
322	3859	8089
323	3871	8078
324	3885	8068
325	3900	8063
326	3913	8054
327	3925	8042
328	3939	8034
329	3952	8024
330	3967	8018
331	3983	8014
332	3997	8006
333	4010	7997
334	4022	7984
335	4036	7977
336	4052	7972
337	4071	7975
338	4091	7978
339	4109	7977
340	4126	7975
341	4146	7977
342	4162	7973
343	4177	7965
344	4188	7951
345	4200	7938
346	4211	7925
347	4221	7909
348	4234	7899
349	4248	7889
350	4261	7879
351	4271	7863
352	4282	7848
353	4295	7837
354	4304	7820
355	4314	7805
356	4326	7793
357	4335	7774
358	4344	7757
359	4353	7739
360	4364	7724
361	4375	7711
362	4384	7693
363	4397	7683
364	4407	7668
365	4417	7651
366	4428	7638
367	4438	7622
368	4446	7603
369	4458	7591
370	4466	7572
371	4477	7558
372	4487	7543
373	4495	7524
374	4506	7511
375	4514	7492
376	4524	7476
377	4532	7457
378	4540	7440
379	4548	7421
380	4558	7405
381	4567	7388
382	4575	7371
383	4587	7358
384	4595	7341
385	4606	7327
386	4616	7313
387	4626	7297
388	4638	7284
389	4646	7267
390	4657	7254
391	4666	7238
392	4676	7223
393	4688	7211
394	4697	7194
395	4707	7179
396	4717	7165
397	4726	7148
398	4736	7133
399	4743	7115
400	4753	7101
401	4763	7086
402	4772	7069
403	4783	7057
404	4792	7041
405	4802	7026
406	4812	7011
407	4821	6996
408	4832	6983
409	4840	6965
410	4851	6952
411	4859	6935
412	4870	6922
413	4880	6907
414	4888	6891
415	4900	6879
416	4908	6862
417	4919	6850
418	4930	6836
419	4938	6819
420	4950	6808
421	4958	6791
422	4969	6778
423	4980	6766
424	4990	6751
425	5000	6737
426	5012	6725
427	5023	6713
428	5036	6702
429	5049	6693
430	5059	6679
431	5069	6664
432	5080	6652
433	5088	6636
434	5099	6623
435	5110	6611
436	5119	6595
437	5130	6583
438	5140	6568
439	5166	6575
440	5180	6566
441	5188	6550
442	5198	6536
443	5209	6523
444	5217	6507
445	5228	6494
446	5239	6482
447	5250	6469
448	5260	6455
449	5268	6439
450	5279	6426
451	5289	6412
452	5297	6397
453	5309	6385
454	5318	6370
455	5329	6358
456	5341	6347
457	5350	6331
458	5361	6319
459	5372	6307
460	5382	6292
461	5394	6281
462	5406	6270
463	5414	6255
464	5427	6244
465	5438	6232
466	5448	6217
467	5458	6204
468	5469	6192
469	5479	6178
470	5491	6167
471	5502	6155
472	5512	6142
473	5523	6129
474	5534	6117
475	5547	6106
476	5559	6095
